ClusterID;ClusterName;Cores;Speed;Memory;numberOfHosts;memoryCapacityPerHost;coreCountPerHost
A0;A0;0;2.48;0;1;56;8
A0;A0;0;2.51;0;4;56;4
A1;A1;0;2.48;0;1;56;8
A1;A1;0;2.51;0;4;56;4
A2;A2;0;2.48;0;1;56;8
A2;A2;0;2.51;0;4;56;4
A3;A3;0;2.48;0;1;56;8
A3;A3;0;2.51;0;4;56;4
A4;A4;0;2.48;0;1;56;8
A4;A4;0;2.51;0;4;56;4
A5;A5;0;2.48;0;1;56;8
A5;A5;0;2.51;0;4;56;4
A6;A6;0;2.48;0;1;56;8
A6;A6;0;2.51;0;4;56;4
A7;A7;0;2.48;0;1;56;8
A7;A7;0;2.51;0;4;56;4
A8;A8;0;2.48;0;1;56;8
A8;A8;0;2.51;0;4;56;4
A9;A9;0;2.48;0;1;56;8
A9;A9;0;2.51;0;4;56;4
