ClusterID;ClusterName;Cores;Speed;Memory;numberOfHosts;memoryCapacityPerHost;coreCountPerHost
A0;A0;0;2.8;0;1;537;32
A0;A0;0;2.52;0;1;537;16
A0;A0;0;2.67;0;34;537;8
A1;A1;0;2.8;0;1;537;32
A1;A1;0;2.52;0;1;537;16
A1;A1;0;2.67;0;34;537;8
A2;A2;0;2.8;0;1;537;32
A2;A2;0;2.52;0;1;537;16
A2;A2;0;2.67;0;34;537;8
A3;A3;0;2.8;0;1;537;32
A3;A3;0;2.52;0;1;537;16
A3;A3;0;2.67;0;34;537;8
A4;A4;0;2.8;0;1;537;32
A4;A4;0;2.52;0;1;537;16
A4;A4;0;2.67;0;34;537;8
A5;A5;0;2.8;0;1;537;32
A5;A5;0;2.52;0;1;537;16
A5;A5;0;2.67;0;34;537;8
A6;A6;0;2.8;0;1;537;32
A6;A6;0;2.52;0;1;537;16
A6;A6;0;2.67;0;34;537;8
A7;A7;0;2.8;0;1;537;32
A7;A7;0;2.52;0;1;537;16
A7;A7;0;2.67;0;34;537;8
A8;A8;0;2.8;0;1;537;32
A8;A8;0;2.52;0;1;537;16
A8;A8;0;2.67;0;34;537;8
A9;A9;0;2.8;0;1;537;32
A9;A9;0;2.52;0;1;537;16
A9;A9;0;2.67;0;34;537;8
